대여소번호,대여소명,전체이용건수,최초관측일,최종관측일,출근시간비중,퇴근시간비중,주말비중,심야비중,자치구,상세주소,위도,경도,설치일,거치대수,운영방식,관측일수,일평균이용건수,거치대당일평균이용건수,일평균이용건수점수,출근시간비중점수,퇴근시간비중점수,주말비중점수,거치대당일평균이용건수점수,동일가중치점수,집중운영점수,우선관리등급,군집
5858,5858. 영등포역5번출구,59215,2025-06-01,2026-06-30,0.21719158996875793,0.2836274592586338,0.26317655999324496,0.2654732753525289,영등포구,경인로 846,37.51669312,126.90807343,2022-09-26 00:00:00,10.0,QR,395,149.91139240506328,14.991139240506328,5,4,3,4,5,21,4.15,집중,1
4598,4598. 오목교 동측 지하보도,24418,2025-06-01,2026-06-30,0.2247522319600295,0.28245556556638546,0.2637398640347285,0.16025063477762305,영등포구,영등포구 양평동2가 41-87,37.52364349,126.88183594,2021-09-28 00:00:00,9.0,QR,395,61.81772151898734,6.868635724331927,5,4,3,4,5,21,4.15,집중,1
578,578. 성동세무서 부근,17969,2025-06-01,2026-06-30,0.2714675274083143,0.29706717123935666,0.14942400801380154,0.10679503589515277,성동구,서울특별시 성동구 광나루로 297 성동세무서,37.54829025,127.06246185,2016-07-06 12:00:00,8.0,QR,395,45.49113924050633,5.686392405063291,4,5,4,1,5,19,4.15,집중,0
1220,1220. 잠실근린공원,29528,2025-06-01,2026-06-30,0.24492007586020048,0.2645285830398266,0.27011649959360606,0.177018423191547,송파구,서울특별시 송파구 백제고분로15길 7,37.50569153,127.08403778,2017-04-24 13:32:19,15.0,LCD,395,74.75443037974684,4.983628691983123,5,5,2,4,5,21,4.15,집중,1
1221,1221. 삼전역 4번출구,22465,2025-06-01,2026-06-30,0.19510349432450477,0.27518361896283106,0.2726463387491654,0.18548853772535054,송파구,서울특별시 송파구 백제고분로 188,37.50419998,127.08753204,2017-07-11 11:27:58,10.0,LCD,395,56.87341772151899,5.687341772151899,5,4,3,4,5,21,4.15,집중,3
3784,3784. 벽산아파트,37956,2025-06-01,2026-06-30,0.28274844556855305,0.23218990409948362,0.26559700706080724,0.1278585730846243,강서구,양천로47길 112 ,37.57531738,126.83666992,2020-11-10 00:00:00,10.0,QR,395,96.09113924050632,9.609113924050632,5,5,2,4,5,21,4.15,집중,1
5095,5095. 원당근린공원,35410,2025-06-01,2026-06-30,0.16179045467382094,0.31287771815871224,0.27068624682293135,0.16565941824343405,강서구,등촌동690-5,37.55947495,126.84147644,2023-04-04 00:00:00,9.0,QR,395,89.64556962025317,9.960618846694796,5,3,4,4,5,21,4.15,집중,1
3692,3692. 둔촌오륜역 1번 출구,23735,2025-06-01,2026-06-30,0.23345270697282494,0.27107646934906254,0.26290288603328416,0.15167474194227934,강동구,강동구 강동대로 303,37.51960373,127.13871002,2021-09-30 00:00:00,10.0,QR,395,60.08860759493671,6.008860759493671,5,4,3,4,5,21,4.15,집중,0
4531,4531. 목동아파트 613동 앞,45950,2025-06-01,2026-06-30,0.2680087051142546,0.23218715995647443,0.27593035908596303,0.0961044613710555,양천구,"양천구 목동동로 430
(613동 인근 상가동 앞)",37.53315735,126.88408661,2021-06-01 00:00:00,10.0,QR,395,116.32911392405063,11.632911392405063,5,5,2,4,5,21,4.15,집중,1
512,512. 뚝섬역 1번 출구 옆,30925,2025-06-01,2026-06-30,0.13849636216653194,0.3802425222312045,0.2623120452708165,0.13484236054971704,성동구,서울특별시 성동구 아차산로 18 뚝섬역 1번 출구 옆,37.5485611,127.0450058,2015-10-07 11:56:43,15.0,QR,395,78.29113924050633,5.219409282700422,5,2,5,4,5,21,4.15,집중,1
3868,3868. 자양한강도서관,32039,2025-06-01,2026-06-30,0.2699834576609757,0.24354692718249632,0.2615874403071257,0.12216361309653859,광진구,서울특별시 광진구 광진구 뚝섬로52길 58,37.52916336,127.07798767,2020-12-10 00:00:00,10.0,QR,395,81.11139240506328,8.11113924050633,5,5,2,4,5,21,4.15,집중,1
146,146. 마포역 2번출구 뒤,25262,2025-06-01,2026-06-30,0.13581664159607315,0.34165940938959705,0.2718707940780619,0.21581822500197925,마포구,서울특별시 마포구 도화동 555-2,37.53993607,126.94582367,2016-06-29 12:00:00,12.0,LCD,395,63.95443037974684,5.3295358649789035,5,2,5,4,5,21,4.15,집중,3
147,147. 마포역 4번출구 뒤,35286,2025-06-01,2026-06-30,0.13829847531598935,0.3723856486992008,0.2709573201836422,0.207447712973984,마포구,서울특별시 마포구 도화동 292-29,37.53927231,126.94591522,2016-06-29 12:00:00,7.0,QR,395,89.33164556962025,12.761663652802893,5,2,5,4,5,21,4.15,집중,1
1867,1867.대륭포스트타워6차 앞,56544,2025-06-01,2026-06-30,0.19982668364459535,0.44609507640067914,0.13292303338992642,0.15702815506508205,금천구,벚꽃로 298,37.48088837,126.88380432,2020-02-26 00:00:00,30.0,QR,395,143.1493670886076,4.771645569620253,5,4,5,1,4,19,4.15,집중,1
4865,4865. 한성백제역 1번출구 뒤,39097,2025-06-01,2026-06-30,0.1978156891833133,0.2920172903291813,0.2674885541090109,0.18835204747167303,송파구,송파구 방이동 45-4,37.51647949,127.1149826,2021-04-28 00:00:00,5.0,QR,395,98.97974683544304,19.795949367088607,5,4,3,4,5,21,4.15,집중,1
4528,4528. 양천구청역 1번출구,18222,2025-06-01,2026-06-30,0.2233015036768741,0.3465042256612886,0.19092306003731752,0.15042256612885524,양천구,양천구 신정동 276-7,37.51292038,126.8667984,2021-03-09 00:00:00,8.0,QR,395,46.131645569620254,5.766455696202532,4,4,5,1,5,19,4.15,집중,2
316,316. 종각역 1번출구 앞,23243,2025-06-01,2026-06-30,0.19889859312481178,0.2972077614765736,0.14597943466850236,0.09491029557286064,종로구,서울특별시 종로구 종로 47 종각역 1번출구 앞,37.57039642,126.98178864,2015-10-07 00:00:00,8.0,QR,395,58.84303797468355,7.355379746835443,5,4,4,1,5,19,4.1,집중,1
